ID,Name,Voivodeship,Population
611,Leśna,Dolnośląskie,4344
612,Ruciane-Nida,Warmińsko-mazurskie,4399
613,Piotrków Kujawski,Kujawsko-pomorskie,4367
614,Krzepice,Śląskie,4329
615,Chęciny,Świętokrzyskie,4377
616,Raciąż,Mazowieckie,4347
617,Rejowiec Fabryczny,Lubelskie,4293
618,Serock,Mazowieckie,4691
619,Kalisz Pomorski,Zachodniopomorskie,4357
620,Skaryszew,Mazowieckie,4309
621,Krośniewice,Łódzkie,4207
622,Mrocza,Kujawsko-pomorskie,4281
623,Olszyna,Dolnośląskie,4298
624,Słomniki,Małopolskie,4277
625,Skoki,Wielkopolskie,4505
626,Woźniki,Śląskie,4283
627,Bytom Odrzański,Lubuskie,4219
628,Jasień,Lubuskie,4188
629,Sława,Lubuskie,4242
630,Krobia,Wielkopolskie,4331
631,Ogrodzieniec,Śląskie,4193
632,Nowy Staw,Pomorskie,4188
633,Korsze,Warmińsko-mazurskie,4121
634,Żabno,Małopolskie,4167
635,Nowogrodziec,Dolnośląskie,4249
636,Resko,Zachodniopomorskie,4127
637,Szamocin,Wielkopolskie,4188
638,Zawidów,Dolnośląskie,4105
639,Kleczew,Wielkopolskie,4068
640,Świeradów-Zdrój,Dolnośląskie,3953
641,Szczucin,Małopolskie,4128
642,Sokołów Małopolski,Podkarpackie,4204
643,Kowalewo Pomorskie,Kujawsko-pomorskie,4078
644,Tarczyn,Mazowieckie,4173
645,Gąbin,Mazowieckie,4066
646,Mieroszów,Dolnośląskie,3927
647,Czerwieńsk,Lubuskie,3911
648,Biała Piska,Warmińsko-mazurskie,4025
649,Bobolice,Zachodniopomorskie,3936
650,Tułowice,Opolskie,3986
651,Żelechów,Mazowieckie,3883
652,Płoty,Zachodniopomorskie,3888
653,Górowo Iławeckie,Warmińsko-mazurskie,3840
654,Janowiec Wielkopolski,Kujawsko-pomorskie,3860
655,Ośno Lubuskie,Lubuskie,3884
656,Lipiany,Zachodniopomorskie,3870
657,Babimost,Lubuskie,3859
658,Iłowa,Lubuskie,3831
659,Mirsk,Dolnośląskie,3751
660,Okonek,Wielkopolskie,3830
661,Podkowa Leśna,Mazowieckie,3788
662,Drzewica,Łódzkie,3780
663,Mikołajki,Warmińsko-mazurskie,3718
664,Rymanów,Podkarpackie,3742
665,Tyczyn,Podkarpackie,4021
666,Skała,Małopolskie,3740
667,Nowe Miasto nad Pilicą,Mazowieckie,3650
668,Pruchnik,Podkarpackie,3734
669,Brańsk,Podlaskie,3667
670,Małogoszcz,Świętokrzyskie,3647
671,Nałęczów,Lubelskie,3713
672,Jabłonowo Pomorskie,Kujawsko-pomorskie,3703
673,Kargowa,Lubuskie,3762
674,Nekla,Wielkopolskie,3857
675,Halinów,Mazowieckie,3717
676,Barwice,Zachodniopomorskie,3668
677,Dobrodzień,Opolskie,3654
